,component 1,component 2,component 3,Status
0,-7.421883008589219,-0.8198010413767476,2.028855476728833,Leakage
1,-15.323043101205416,-0.4975123511447595,0.746581786792495,Leakage
2,-6.114105081839482,-1.91779715178796,1.0153676086234869,Leakage
3,-9.479357728767225,-0.598464680088705,1.1389444766178967,Leakage
4,-0.860348543463656,2.826234390893242,-1.6453395142202252,Leakage
5,22.702054067033007,-6.145933659400758,14.438932492024518,Leakage
6,-11.670813795902356,-0.7054712385266182,0.9884046172089218,Leakage
7,21.102197023651545,13.969196098454757,-3.8224774016812058,Leakage
8,15.629544658013414,-13.089129049291424,-8.578872569844513,Leakage
9,-6.22933059746222,-2.089062583391499,-4.332429154292134,Leakage
10,3.4317746981220636,6.817663210635409,-1.2077261191058846,Leakage
11,9.587893601919294,1.2070899500247139,-2.26493619675985,Leakage
12,-11.105806417695513,-0.6906895991995833,1.0090003609069225,Leakage
13,-4.248775773814221,1.7336777041999538,0.48569413700075453,Leakage
14,-11.183566880630599,-1.8843379810499001,-0.5222195753860217,Non leakage
15,1.718855047292973,1.4923516609663299,2.8386159608458583,Non leakage
16,-7.9754327041776145,-1.520954817757122,-1.458573253526936,Non leakage
17,-5.468952555876312,-0.5833479875245458,-0.439854153479527,Non leakage
18,-6.534238910115924,-0.7450702813803988,0.6077713786075836,Non leakage
19,-5.087306120982206,-2.636252169612985,-1.1196385394876216,Non leakage
20,-11.96896612531816,-2.2134734422363493,-1.1037598911417805,Non leakage
21,-2.735569599372489,0.9279263238336837,0.3869893566085235,Non leakage
22,-1.484108654295957,0.14672021979129712,1.1975656834126542,Non leakage
23,-6.6167462509268224,-0.3053887655399602,0.48732736605804455,Non leakage
24,12.186972525640023,4.854991957185498,3.5794647201884446,Non leakage
25,7.191134881598653,3.2404626298883072,-4.507806526508618,Non leakage
26,-1.2532928375878087,1.8089404925059427,1.5227237975304124,Non leakage
27,-10.17211316373016,-1.786570922532066,0.17130666224437252,Non leakage
28,5.30271814956587,2.802734010655134,0.15999030753936885,Non leakage
29,-1.5577989945104613,0.38188014694354044,0.04858049040244961,Non leakage
30,-11.059351914951165,-1.1945060546892727,-0.2797139943501541,Non leakage
31,53.09697056838305,-5.757168861857591,-2.283803752568986,Non leakage
32,11.378909378537635,4.388562795040517,1.8002474221831848,Non leakage
33,-7.778115838542525,-1.4174989526300632,-1.0852134591712574,Non leakage
